"fldName";"fldRecoverableOil";"fldRecoverableGas";"fldRecoverableNGL";"fldRecoverableCondensate";"fldRecoverableOE";"fldRemainingOil";"fldRemainingGas";"fldRemainingNGL";"fldRemainingCondensate";"fldRemainingOE";"fldDateOffResEstDisplay";"fldNpdidField";"DatesyncNPD"
"TOR";"24.50";"10.90";"1.20";"0.00";"37.68";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43520";"27.06.2017"
"TORDIS";"66.20";"4.80";"1.90";"0.00";"74.61";"7.10";"0.50";"0.30";"0.00";"8.17";"31.12.2016";"43725";"27.06.2017"
"TRESTAKK";"10.70";"0.70";"0.10";"0.00";"11.59";"10.70";"0.70";"0.10";"0.00";"11.59";"31.12.2016";"29396445";"27.06.2017"
"TROLL";"284.50";"1432.80";"24.00";"1.50";"1764.40";"28.00";"859.70";"14.50";"-2.80";"912.45";"31.12.2016";"46437";"27.06.2017"
"TROLL BRENT B";"0.60";"0.00";"0.00";"0.00";"0.60";"0.60";"0.00";"0.00";"0.00";"0.60";"31.12.2016";"29398828";"27.06.2017"
"TRYM";"1.50";"3.40";"0.00";"0.00";"4.90";"0.10";"0.50";"0.00";"0.00";"0.60";"31.12.2016";"18081500";"27.06.2017"
"TUNE";"3.40";"18.70";"0.20";"0.00";"22.48";"-0.20";"-0.90";"0.00";"0.00";"-1.10";"31.12.2016";"853376";"27.06.2017"
"TYRIHANS";"35.20";"42.50";"7.90";"0.00";"92.71";"8.10";"36.30";"6.70";"0.00";"57.13";"31.12.2016";"3960848";"27.06.2017"
"ULA";"84.50";"3.90";"3.20";"0.00";"94.48";"10.10";"0.00";"0.50";"0.00";"11.05";"31.12.2016";"43800";"27.06.2017"
"URD";"8.00";"0.30";"0.00";"0.00";"8.30";"1.80";"0.00";"0.00";"0.00";"1.80";"31.12.2016";"2834734";"27.06.2017"
"UTGARD";"1.40";"1.90";"0.60";"0.00";"4.44";"1.40";"1.90";"0.60";"0.00";"4.44";"31.12.2016";"28975098";"27.06.2017"
"VALE";"2.70";"2.90";"0.00";"0.00";"5.60";"0.60";"1.00";"0.00";"0.00";"1.60";"31.12.2016";"1578893";"27.06.2017"
"VALEMON";"1.90";"16.60";"0.60";"0.00";"19.64";"1.20";"12.30";"0.60";"0.00";"14.64";"31.12.2016";"20460969";"27.06.2017"
"VALHALL";"143.60";"27.40";"5.10";"0.00";"180.69";"29.30";"5.40";"1.60";"0.00";"37.74";"31.12.2016";"43548";"27.06.2017"
"VARG";"16.30";"0.30";"0.00";"0.00";"16.60";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43451";"27.06.2017"
"VEGA";"9.80";"19.50";"6.30";"0.00";"41.27";"4.10";"11.20";"4.20";"-0.40";"22.88";"31.12.2016";"4467595";"27.06.2017"
"VESLEFRIKK";"55.20";"5.60";"1.90";"0.00";"64.41";"1.10";"2.20";"0.30";"0.00";"3.87";"31.12.2016";"43618";"27.06.2017"
"VEST EKOFISK";"12.20";"26.00";"1.40";"0.00";"40.86";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43513";"27.06.2017"
"VIGDIS";"69.10";"1.80";"1.30";"0.00";"73.37";"9.60";"0.00";"0.20";"0.00";"9.98";"31.12.2016";"43732";"27.06.2017"
"VILJE";"14.40";"0.00";"0.00";"0.00";"14.40";"3.00";"-0.50";"0.00";"0.00";"2.50";"31.12.2016";"3392471";"27.06.2017"
"VISUND";"38.20";"55.60";"6.90";"0.00";"106.91";"8.30";"43.70";"6.10";"0.00";"63.59";"31.12.2016";"43745";"27.06.2017"
"VISUND SØR";"2.80";"6.00";"0.80";"0.00";"10.32";"0.80";"3.20";"0.40";"0.00";"4.76";"31.12.2016";"20461008";"27.06.2017"
"VOLUND";"12.90";"1.20";"0.00";"0.00";"14.10";"4.20";"0.40";"0.00";"0.00";"4.60";"31.12.2016";"4380167";"27.06.2017"
"VOLVE";"10.20";"0.90";"0.20";"0.10";"11.58";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"3420717";"27.06.2017"
"YME";"7.90";"0.00";"0.00";"0.00";"7.90";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43807";"27.06.2017"
"YTTERGRYTA";"0.30";"2.20";"0.40";"0.00";"3.26";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"4973114";"27.06.2017"
"ØST FRIGG";"0.00";"9.20";"0.00";"0.10";"9.30";"0.00";"0.00";"0.00";"0.00";"0.00";"31.12.2016";"43576";"27.06.2017"
"ÅSGARD";"104.70";"213.80";"39.20";"17.10";"410.08";"11.40";"50.70";"9.40";"0.00";"79.96";"31.12.2016";"43765";"27.06.2017"
"AASTA HANSTEEN";"0.00";"45.50";"0.00";"0.90";"46.40";"0.00";"45.50";"0.00";"0.90";"46.40";"31.12.2016";"23395946";"27.06.2017"
